Name,Preis,Links,Event
Schönes Zimmer in der Nähe von HSG,62 CHF,https://www.airbnb.ch/rooms/1188930325214083127?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1940734657&source_impression_id=p3_1742323438_P34CZ9xZh0OoS0uk&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
Bijoux Ferienwohnung auf Bauernhof im Wald,87 CHF,https://www.airbnb.ch/rooms/52139216?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3pZPiUTysXD3sBw&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
winzige Wohnung,95 CHF,https://www.airbnb.ch/rooms/54369584?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3KVsMsegw4gvti8&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
"Schönes Einzelzimmer, zentral",30 CHF,https://www.airbnb.ch/rooms/1249206762119913900?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2077775382&source_impression_id=p3_1742323438_P3XQBgn0JDi1QWVy&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
Moderne Wohnung nahe OLMA Messe,190 CHF,https://www.airbnb.ch/rooms/1378804535792044479?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3gKQklUYgzdl2Q4&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",44 CHF,https://www.airbnb.ch/rooms/43076325?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1136469183&source_impression_id=p3_1742323438_P3zgcdBTliGUOMDj&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
Zentrale Stadtwohnung mit Terasse,180 CHF,https://www.airbnb.ch/rooms/42128949?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3FjOATG-c3gAxoD&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
"Birkenhof, Haus Märli",500 CHF,https://www.airbnb.ch/rooms/1254262698928353569?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P37c7A0lIk6mwI4w&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
Schöne 2 1/2 Zimmer Dachwohnung,81 CHF,https://www.airbnb.ch/rooms/964210138285327314?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3Jadcb3bq-d7U1L&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
"Ruhig, Gratis Parkplatz, Balkon & im 1. Stockwerk",276 CHF,https://www.airbnb.ch/rooms/1279050772829252627?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324812_P3KAw2itdwlbmknw&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
"Nachhaltig Wohnen im 1. Stock, gratis Parkplatz!",230 CHF,https://www.airbnb.ch/rooms/631007400205214375?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324813_P35R1MiYvSn72kaL&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
St.-Gallen Ost 1 IN OLMA IN Zentral I Culture,317 CHF,https://www.airbnb.ch/rooms/1312926767571539260?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324813_P3oTFsnfyjaA6-m3&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
TouchBed | Budget-Studio,199 CHF,https://www.airbnb.ch/rooms/22469139?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324813_P3ss_FRmPA93J0XW&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
Schönes Zimmer in der Nähe von HSG,62 CHF,https://www.airbnb.ch/rooms/1188930325214083127?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1940734657&source_impression_id=p3_1742324813_P3jNhlkz1HfqT8Ws&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
St. Gallen Zimmer Nähe OLMA/Uni/Zentrum Jugendstil,70 CHF,https://www.airbnb.ch/rooms/697517?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1349005821&source_impression_id=p3_1742324813_P3VVMkkJ2IZe9hxk&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
Zimmer mit separater Dusche,38 CHF,https://www.airbnb.ch/rooms/32656994?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=997136320&source_impression_id=p3_1742324814_P3Or6vc6jxDpQ60w&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
Altbau-Oase/ Zentral & Gemütlich,145 CHF,https://www.airbnb.ch/rooms/1378779785675848684?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3qmbnXnzAWG7llZ&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
"Birkenhof, Haus Märli",500 CHF,https://www.airbnb.ch/rooms/1254262698928353569?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324814_P3uUroLVtdwYQjNO&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
"Ruhig, City-und Naturnah, inkl. Parkplatz & Balkon",276 CHF,https://www.airbnb.ch/rooms/1280932025399837362?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324816_P3IvAdgf05QYa3CW&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
Bijoux Ferienwohnung auf Bauernhof im Wald,87 CHF,https://www.airbnb.ch/rooms/52139216?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3pZPiUTysXD3sBw&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
Moderne Wohnung nahe OLMA Messe,190 CHF,https://www.airbnb.ch/rooms/1378804535792044479?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324817_P3R18_CQLA13t8m0&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
Schöne 2 1/2 Zimmer Dachwohnung,81 CHF,https://www.airbnb.ch/rooms/964210138285327314?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324817_P3u-9AMg6984fkqV&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
Zentrale Stadtwohnung mit Terasse,180 CHF,https://www.airbnb.ch/rooms/42128949?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324817_P3LiBrZLwQUsspVF&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
winzige Wohnung,95 CHF,https://www.airbnb.ch/rooms/54369584?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324817_P3-Y9ZvA2KvR6cTU&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
Nah an der Natur und ÖV vor der Tür (mit Ticket),65 CHF,https://www.airbnb.ch/rooms/7655133?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1421192468&source_impression_id=p3_1742324817_P361YfM7YUedY_me&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
Im Grünen nahe des Zentrum (Familienzimmer 2+2),60 CHF,https://www.airbnb.ch/rooms/18440897?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=300964172&source_impression_id=p3_1742324817_P3FkYrHuTdkDlndN&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
"Schönes Einzelzimmer, zentral",30 CHF,https://www.airbnb.ch/rooms/1249206762119913900?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2077775382&source_impression_id=p3_1742324817_P3w7ysdiYVy1CnKv&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
Bijou im Rocky Docky Haus,89 CHF,https://www.airbnb.ch/rooms/1156600890595040497?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742326370_P31tfD3jdrMIi8CP&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
Fühl dich wie zuhause,150 CHF,https://www.airbnb.ch/rooms/18659322?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742326348_P37pJrZECjndbv3_&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
Bijoux Ferienwohnung auf Bauernhof im Wald,87 CHF,https://www.airbnb.ch/rooms/52139216?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742326351_P3aoOVjGRHtZU2lw&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
Moderne Wohnung nahe OLMA Messe,,https://www.airbnb.ch/rooms/1378804535792044479?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742326351_P31FrCM2UOOZH65Y&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
"Birkenhof, Haus Märli",,https://www.airbnb.ch/rooms/1254262698928353569?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742326351_P3QqNe-bb0AOpsYq&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
St. Gallen Zimmer Nähe OLMA/Uni/Zentrum Jugendstil,70 CHF,https://www.airbnb.ch/rooms/697517?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1349005821&source_impression_id=p3_1742326351_P3TNxxZsXMGwUxp8&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
