Date Range,Location Name,Price per Night
09.10.2025-19.10.2025,"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",84.00
09.10.2025-19.10.2025,Im Grünen nahe des Zentrum (Familienzimmer 2+2),55.00
09.10.2025-19.10.2025,"gemütliches Studio im EG, im Appenzellerland",60.00
09.10.2025-19.10.2025,heimelige Wohnung in Goldach,67.00
09.10.2025-19.10.2025,Dein Zuhause in Herisau,104.00
09.10.2025-19.10.2025,gemütliches Zimmer mit Privatsphäre,43.00
09.10.2025-19.10.2025,Schöne 2 1/2 Zimmer Dachwohnung,99.00
09.10.2025-19.10.2025,2.5 Zimmer Dachwohnung mit Gartensitzplatz,121.00
09.10.2025-19.10.2025,Charmante Wohnung im Zentrum von Goldach,71.00
09.10.2025-19.10.2025,2. Charmante Wohnung in Seenähe,67.00
09.10.2025-19.10.2025,Ganze Wohnung mitten in der Altstadt von Arbon,61.00
09.10.2025-19.10.2025,Als Wohnung in der Innenstadt von St. Gallen,73.00
09.10.2025-19.10.2025,Ferien auf dem Billenberghof,142.00
09.10.2025-19.10.2025,Idyllische Wohnung in der Natur,141.00
09.10.2025-19.10.2025,"Histor. grossbürgerl. Wohnhaus, ruhige Lage",58.00
09.10.2025-19.10.2025,Atelier/Loft im Grünen Individuelles Altes Haus,126.00
09.10.2025-19.10.2025,"""Leben wie die Locals"" mitten im Zentrum",86.00
09.10.2025-19.10.2025,Gartenstudio in Appenzellerhaus,63.00
09.10.2025-19.10.2025,"2 Zimmer mit Balkon, Netflix und Mietfahrräder",112.00
09.10.2025-19.10.2025,Olma / Stadtzentrum / Cosy,198.00
09.10.2025-19.10.2025,Charmante Ferienwohnung 2 Zimmer W43,78.00
09.10.2025-19.10.2025,Gemütliche Wohnung im Zentrum von St. Gallen,78.00
09.10.2025-19.10.2025,Möbliertes Studio mit Garten W5,61.00
09.10.2025-19.10.2025,Zur Geduld (direkt am Bahnhof),69.00
09.10.2025-19.10.2025,Charmante Altbauwohnung ruhig und doch zentral,101.00
09.10.2025-19.10.2025,Gemütliche Wohnung,70.00
09.10.2025-19.10.2025,Poliba St.Gallen-3 1/2 zimmer wohnung,50.00
09.10.2025-19.10.2025,Schönes Zimmer in der Nähe von HSG,64.00
09.10.2025-19.10.2025,Eigene Studiowohnung mit Küche,72.00
09.10.2025-19.10.2025,Gemütliche Altbauwohnung im Zentrum,96.00
09.10.2025-19.10.2025,Studio mit Panoramaaussicht,58.00
09.10.2025-19.10.2025,Studio mit Charme und Aussicht,58.00
09.10.2025-19.10.2025,Zeit,64.00
09.10.2025-19.10.2025,Einzigartige schöne Altbau- Wohnung im Zentrum,123.00
09.10.2025-19.10.2025,Helle Wohnung über St.Gallen,100.00
09.10.2025-19.10.2025,Das Haus mit dem Schwein,54.00
09.10.2025-19.10.2025,"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",84.00
09.10.2025-19.10.2025,Im Grünen nahe des Zentrum (Familienzimmer 2+2),55.00
09.10.2025-19.10.2025,"gemütliches Studio im EG, im Appenzellerland",60.00
09.10.2025-19.10.2025,heimelige Wohnung in Goldach,67.00
09.10.2025-19.10.2025,Dein Zuhause in Herisau,104.00
09.10.2025-19.10.2025,gemütliches Zimmer mit Privatsphäre,43.00
09.10.2025-19.10.2025,Schöne 2 1/2 Zimmer Dachwohnung,99.00
09.10.2025-19.10.2025,2.5 Zimmer Dachwohnung mit Gartensitzplatz,121.00
09.10.2025-19.10.2025,Charmante Wohnung im Zentrum von Goldach,71.00
09.10.2025-19.10.2025,2. Charmante Wohnung in Seenähe,67.00
09.10.2025-19.10.2025,Ganze Wohnung mitten in der Altstadt von Arbon,61.00
09.10.2025-19.10.2025,Als Wohnung in der Innenstadt von St. Gallen,73.00
26.06.2025-29.06.2025,Schönes Zimmer in der Nähe von HSG,71.00
26.06.2025-29.06.2025,St. Gallen Zimmer Nähe OLMA/Uni/Zentrum Jugendstil,88.00
26.06.2025-29.06.2025,"Schönes Einzelzimmer, zentral",35.00
26.06.2025-29.06.2025,Elegante Barockstil Wohnung City,212.00
26.06.2025-29.06.2025,Schöne 2 1/2 Zimmer Dachwohnung,139.00
26.06.2025-29.06.2025,"Birkenhof, Haus Märli",587.00
26.06.2025-29.06.2025,Nah an der Natur und ÖV vor der Tür (mit Ticket),75.00
26.06.2025-29.06.2025,Appartement im Grünen,111.00
26.06.2025-29.06.2025,Gemütliches Zimmer mit Frühstück,42.00
26.06.2025-29.06.2025,Komfortables Doppelzimmer – zentral,42.00
26.06.2025-29.06.2025,TouchBed | Budget-Studio,227.00
26.06.2025-29.06.2025,Leimathof Attica,264.00
26.06.2025-29.06.2025,Säntiszimmer,44.00
26.06.2025-29.06.2025,Gemütliche Wohnung in St. Gallen,133.00
26.06.2025-29.06.2025,Ferienwohnung gegenüber Bahnhof separater Eingang,93.00
26.06.2025-29.06.2025,"Queensize-Bett, Arbeitsplatz, gratis Parkplatz",255.00
26.06.2025-29.06.2025,Fühl dich wie zuhause,196.00
26.06.2025-29.06.2025,"Gemütliches Bett, Spaß, Frühstück wird bereitgestellt",51.00
26.06.2025-29.06.2025,Gemütliches Zimmer mit Frühstück,42.00
26.06.2025-29.06.2025,Komfortables Doppelzimmer – zentral,42.00
26.06.2025-29.06.2025,TouchBed | Budget-Studio,227.00
26.06.2025-29.06.2025,Leimathof Attica,264.00
26.06.2025-29.06.2025,Schönes Zimmer in der Nähe von HSG,71.00
26.06.2025-29.06.2025,St. Gallen Zimmer Nähe OLMA/Uni/Zentrum Jugendstil,88.00
26.06.2025-29.06.2025,"Schönes Einzelzimmer, zentral",35.00
26.06.2025-29.06.2025,Elegante Barockstil Wohnung City,212.00
26.06.2025-29.06.2025,Schöne 2 1/2 Zimmer Dachwohnung,139.00
26.06.2025-29.06.2025,"Birkenhof, Haus Märli",587.00
26.06.2025-29.06.2025,Gemütliche Wohnung über einer Bäckerei,77.00
26.06.2025-29.06.2025,Nah an der Natur und ÖV vor der Tür (mit Ticket),75.00
26.06.2025-29.06.2025,Gartenstudio in Appenzellerhaus,80.00
26.06.2025-29.06.2025,Gemütliche Wohnung in St. Gallen,133.00
26.06.2025-29.06.2025,"Queensize-Bett, Arbeitsplatz, gratis Parkplatz",255.00
26.06.2025-29.06.2025,Fühl dich wie zuhause,196.00
26.06.2025-29.06.2025,"Gemütliches Bett, Spaß, Frühstück wird bereitgestellt",51.00
26.06.2025-29.06.2025,1er Zimmer ruhig 5 Min. bis ÖV,67.00
26.06.2025-29.06.2025,Schönes Zimmer in der Nähe von HSG,71.00
26.06.2025-29.06.2025,St. Gallen Zimmer Nähe OLMA/Uni/Zentrum Jugendstil,88.00
26.06.2025-29.06.2025,"Schönes Einzelzimmer, zentral",35.00
26.06.2025-29.06.2025,Elegante Barockstil Wohnung City,212.00
26.06.2025-29.06.2025,Schöne 2 1/2 Zimmer Dachwohnung,139.00
26.06.2025-29.06.2025,"Birkenhof, Haus Märli",587.00
26.06.2025-29.06.2025,Nah an der Natur und ÖV vor der Tür (mit Ticket),75.00
26.06.2025-29.06.2025,Appartement im Grünen,111.00
26.06.2025-29.06.2025,Gemütliches Zimmer mit Frühstück,42.00
26.06.2025-29.06.2025,Komfortables Doppelzimmer – zentral,42.00
26.06.2025-29.06.2025,TouchBed | Budget-Studio,227.00
26.06.2025-29.06.2025,Leimathof Attica,264.00
26.06.2025-29.06.2025,Säntiszimmer,44.00
26.06.2025-29.06.2025,Gemütliche Wohnung in St. Gallen,133.00
26.06.2025-29.06.2025,Ferienwohnung gegenüber Bahnhof separater Eingang,93.00
26.06.2025-29.06.2025,"Queensize-Bett, Arbeitsplatz, gratis Parkplatz",255.00
26.06.2025-29.06.2025,Fühl dich wie zuhause,196.00
26.06.2025-29.06.2025,"Gemütliches Bett, Spaß, Frühstück wird bereitgestellt",51.00
26.06.2025-29.06.2025,Gemütliches Zimmer mit Frühstück,42.00
26.06.2025-29.06.2025,Komfortables Doppelzimmer – zentral,42.00
26.06.2025-29.06.2025,TouchBed | Budget-Studio,227.00
26.06.2025-29.06.2025,Leimathof Attica,264.00
26.06.2025-29.06.2025,Schönes Zimmer in der Nähe von HSG,71.00
26.06.2025-29.06.2025,St. Gallen Zimmer Nähe OLMA/Uni/Zentrum Jugendstil,88.00
26.06.2025-29.06.2025,"Schönes Einzelzimmer, zentral",35.00
26.06.2025-29.06.2025,Elegante Barockstil Wohnung City,212.00
26.06.2025-29.06.2025,Schöne 2 1/2 Zimmer Dachwohnung,139.00
26.06.2025-29.06.2025,"Birkenhof, Haus Märli",587.00
26.06.2025-29.06.2025,Gemütliche Wohnung über einer Bäckerei,77.00
26.06.2025-29.06.2025,Nah an der Natur und ÖV vor der Tür (mit Ticket),75.00
26.06.2025-29.06.2025,Gartenstudio in Appenzellerhaus,80.00
26.06.2025-29.06.2025,Gemütliche Wohnung in St. Gallen,133.00
26.06.2025-29.06.2025,"Queensize-Bett, Arbeitsplatz, gratis Parkplatz",255.00
26.06.2025-29.06.2025,Fühl dich wie zuhause,196.00
26.06.2025-29.06.2025,"Gemütliches Bett, Spaß, Frühstück wird bereitgestellt",51.00
26.06.2025-29.06.2025,1er Zimmer ruhig 5 Min. bis ÖV,67.00
26.06.2025-29.06.2025,Schönes Zimmer in der Nähe von HSG,71.00
26.06.2025-29.06.2025,St. Gallen Zimmer Nähe OLMA/Uni/Zentrum Jugendstil,88.00
26.06.2025-29.06.2025,"Schönes Einzelzimmer, zentral",35.00
26.06.2025-29.06.2025,Elegante Barockstil Wohnung City,212.00
26.06.2025-29.06.2025,Schöne 2 1/2 Zimmer Dachwohnung,139.00
26.06.2025-29.06.2025,"Birkenhof, Haus Märli",587.00
26.06.2025-29.06.2025,Nah an der Natur und ÖV vor der Tür (mit Ticket),75.00
26.06.2025-29.06.2025,Appartement im Grünen,111.00
26.06.2025-29.06.2025,Gemütliches Zimmer mit Frühstück,42.00
26.06.2025-29.06.2025,Komfortables Doppelzimmer – zentral,42.00
26.06.2025-29.06.2025,TouchBed | Budget-Studio,227.00
26.06.2025-29.06.2025,Leimathof Attica,264.00
26.06.2025-29.06.2025,Säntiszimmer,44.00
26.06.2025-29.06.2025,Gemütliche Wohnung in St. Gallen,133.00
26.06.2025-29.06.2025,Ferienwohnung gegenüber Bahnhof separater Eingang,93.00
26.06.2025-29.06.2025,"Queensize-Bett, Arbeitsplatz, gratis Parkplatz",255.00
26.06.2025-29.06.2025,Fühl dich wie zuhause,196.00
26.06.2025-29.06.2025,"Gemütliches Bett, Spaß, Frühstück wird bereitgestellt",51.00
26.06.2025-29.06.2025,Gemütliches Zimmer mit Frühstück,42.00
26.06.2025-29.06.2025,Komfortables Doppelzimmer – zentral,42.00
26.06.2025-29.06.2025,TouchBed | Budget-Studio,227.00
26.06.2025-29.06.2025,Leimathof Attica,264.00
26.06.2025-29.06.2025,Schönes Zimmer in der Nähe von HSG,71.00
26.06.2025-29.06.2025,St. Gallen Zimmer Nähe OLMA/Uni/Zentrum Jugendstil,88.00
26.06.2025-29.06.2025,"Schönes Einzelzimmer, zentral",35.00
26.06.2025-29.06.2025,Elegante Barockstil Wohnung City,212.00
26.06.2025-29.06.2025,Schöne 2 1/2 Zimmer Dachwohnung,139.00
26.06.2025-29.06.2025,"Birkenhof, Haus Märli",587.00
